IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.90.120.205,443,443,true,FRA,Europe,Frankfurt,176,8.85
34.122.129.224,443,443,true,ORD,North America,Chicago,206,8.85
34.124.121.119,443,443,true,YYZ,North America,Toronto,210,8.83
35.197.239.137,443,443,true,LHR,Europe,London,174,8.83
34.91.83.233,443,443,true,FRA,Europe,Frankfurt,173,8.81
34.65.249.244,443,443,true,FRA,Europe,Frankfurt,172,8.79
34.154.252.14,443,443,true,FRA,Europe,Frankfurt,211,8.79
34.65.202.210,443,443,true,FRA,Europe,Frankfurt,178,8.78
34.116.219.56,443,443,true,FRA,Europe,Frankfurt,185,8.77
34.65.2.140,443,443,true,FRA,Europe,Frankfurt,176,8.76
34.90.152.143,443,443,true,CDG,Europe,Paris,182,8.76
34.65.202.210,443,443,true,AMS,Europe,Amsterdam,179,8.76
34.116.175.112,443,443,true,FRA,Europe,Frankfurt,185,8.76
35.245.178.232,443,443,true,IAD,North America,Ashburn,249,8.75
34.118.80.178,443,443,true,FRA,Europe,Frankfurt,186,8.74
34.118.50.32,443,443,true,FRA,Europe,Frankfurt,190,8.74
34.89.239.146,443,443,true,FRA,Europe,Frankfurt,181,8.73
34.90.72.181,443,443,true,FRA,Europe,Frankfurt,202,8.73
34.34.1.13,443,443,true,FRA,Europe,Frankfurt,231,8.73
35.188.87.85,80,8080,false,ORD,North America,Chicago,205,8.73
34.34.32.175,443,443,true,FRA,Europe,Frankfurt,178,8.70
35.246.223.15,443,443,true,FRA,Europe,Frankfurt,216,8.69
34.65.189.65,443,443,true,FRA,Europe,Frankfurt,179,8.69
34.89.193.162,443,443,true,FRA,Europe,Frankfurt,168,8.68
34.89.151.141,443,443,true,FRA,Europe,Frankfurt,168,8.66
34.34.40.79,443,443,true,FRA,Europe,Frankfurt,176,8.64
34.89.198.241,443,443,true,CDG,Europe,Paris,168,8.64
34.154.181.117,443,443,true,FRA,Europe,Frankfurt,233,8.64
34.124.121.119,443,443,true,YYZ,North America,Toronto,209,8.62
34.65.27.255,443,443,true,AMS,Europe,Amsterdam,181,8.62
34.118.68.169,443,443,true,CDG,Europe,Paris,201,8.61
34.118.106.198,443,443,true,FRA,Europe,Frankfurt,205,8.60
35.234.85.235,443,443,true,FRA,Europe,Frankfurt,198,8.60
34.141.255.0,443,443,true,FRA,Europe,Frankfurt,163,8.60
34.122.129.224,443,443,true,ORD,North America,Chicago,206,8.58
34.65.157.100,443,443,true,FRA,Europe,Frankfurt,174,8.57
34.32.166.130,443,443,true,FRA,Europe,Frankfurt,187,8.55
34.65.27.255,443,443,true,FRA,Europe,Frankfurt,188,8.53
34.159.192.6,443,443,true,FRA,Europe,Frankfurt,167,8.53
34.91.113.182,443,443,true,FRA,Europe,Frankfurt,182,8.49
34.118.3.82,443,443,true,FRA,Europe,Frankfurt,184,8.49
34.154.94.225,443,443,true,CDG,Europe,Paris,164,8.49
34.118.76.188,443,443,true,AMS,Europe,Amsterdam,183,8.48
34.90.188.200,443,443,true,FRA,Europe,Frankfurt,197,8.46
34.74.105.17,80,8080,false,ATL,North America,Atlanta,218,8.46
34.65.45.214,443,443,true,FRA,Europe,Frankfurt,193,8.43
34.74.105.17,80,8080,false,ATL,North America,Atlanta,217,8.42
34.89.234.44,443,443,true,FRA,Europe,Frankfurt,171,8.41
35.196.72.166,443,443,true,ATL,North America,Atlanta,219,8.40
34.105.140.105,443,443,true,LHR,Europe,London,167,8.40
34.154.37.15,443,443,true,FRA,Europe,Frankfurt,176,8.38
34.65.103.93,443,443,true,FRA,Europe,Frankfurt,197,8.38
34.89.180.46,443,443,true,FRA,Europe,Frankfurt,188,8.37
35.204.153.190,443,443,true,FRA,Europe,Frankfurt,179,8.36
34.118.113.252,443,443,true,FRA,Europe,Frankfurt,186,8.35
34.118.99.244,443,443,true,FRA,Europe,Frankfurt,188,8.31
34.116.219.249,443,443,true,FRA,Europe,Frankfurt,183,8.31
34.141.56.254,443,443,true,FRA,Europe,Frankfurt,198,8.31
34.65.30.161,443,443,true,FRA,Europe,Frankfurt,176,8.31
34.116.198.247,443,443,true,FRA,Europe,Frankfurt,190,8.30
34.116.214.43,443,443,true,FRA,Europe,Frankfurt,196,8.28
34.89.168.9,443,443,true,AMS,Europe,Amsterdam,227,8.27
34.154.37.246,443,443,true,FRA,Europe,Frankfurt,177,8.26
34.116.224.139,443,443,true,FRA,Europe,Frankfurt,199,8.25
34.90.118.98,443,443,true,FRA,Europe,Frankfurt,180,8.23
34.65.25.114,443,443,true,FRA,Europe,Frankfurt,186,8.20
34.154.134.203,443,443,true,FRA,Europe,Frankfurt,179,8.20
34.107.54.115,443,443,true,FRA,Europe,Frankfurt,178,8.17
34.65.2.140,443,443,true,FRA,Europe,Frankfurt,175,8.15
34.74.105.17,80,8080,false,ATL,North America,Atlanta,217,8.13
34.116.203.60,443,443,true,FRA,Europe,Frankfurt,185,8.09
34.89.249.158,443,443,true,FRA,Europe,Frankfurt,172,8.07
34.118.12.114,443,443,true,FRA,Europe,Frankfurt,228,8.06
34.118.51.188,443,443,true,FRA,Europe,Frankfurt,195,8.06
35.190.152.145,443,443,true,ATL,North America,Atlanta,219,8.06
34.91.166.255,443,443,true,FRA,Europe,Frankfurt,262,8.05
34.116.167.147,443,443,true,FRA,Europe,Frankfurt,188,8.03
34.118.30.93,443,443,true,FRA,Europe,Frankfurt,249,8.01
34.148.187.247,443,443,true,ATL,North America,Atlanta,217,7.99
34.107.121.246,443,443,true,FRA,Europe,Frankfurt,154,7.98
35.185.75.107,443,443,true,ATL,North America,Atlanta,218,7.96
34.65.183.126,443,443,true,FRA,Europe,Frankfurt,183,7.95
34.91.119.232,443,443,true,FRA,Europe,Frankfurt,199,7.94
34.65.192.38,443,443,true,FRA,Europe,Frankfurt,176,7.94
34.65.50.163,443,443,true,FRA,Europe,Frankfurt,229,7.93
34.118.48.35,443,443,true,FRA,Europe,Frankfurt,188,7.92
34.116.132.87,443,443,true,FRA,Europe,Frankfurt,280,7.91
34.154.129.199,443,443,true,FRA,Europe,Frankfurt,191,7.90
34.89.151.141,443,443,true,FRA,Europe,Frankfurt,180,7.90
34.65.238.78,443,443,true,FRA,Europe,Frankfurt,172,7.89
34.65.156.232,443,443,true,FRA,Europe,Frankfurt,172,7.86
34.65.152.34,443,443,true,FRA,Europe,Frankfurt,186,7.81
34.154.148.247,443,443,true,FRA,Europe,Frankfurt,189,7.81
34.65.25.114,443,443,true,FRA,Europe,Frankfurt,175,7.78
34.91.119.232,443,443,true,FRA,Europe,Frankfurt,176,7.77
34.65.99.191,443,443,true,FRA,Europe,Frankfurt,180,7.75
34.65.12.30,443,443,true,FRA,Europe,Frankfurt,178,7.75
34.118.64.153,443,443,true,FRA,Europe,Frankfurt,211,7.74
35.204.126.114,443,443,true,FRA,Europe,Frankfurt,222,7.74
34.65.201.127,443,443,true,FRA,Europe,Frankfurt,190,7.71
34.65.65.7,443,443,true,FRA,Europe,Frankfurt,175,7.70
34.116.198.247,443,443,true,FRA,Europe,Frankfurt,289,7.66
34.118.75.245,443,443,true,FRA,Europe,Frankfurt,186,7.66
34.89.180.46,443,443,true,FRA,Europe,Frankfurt,172,7.65
34.116.172.212,443,443,true,FRA,Europe,Frankfurt,185,7.64
34.65.241.250,443,443,true,AMS,Europe,Amsterdam,178,7.61
34.118.8.60,443,443,true,FRA,Europe,Frankfurt,187,7.61
34.118.117.35,443,443,true,FRA,Europe,Frankfurt,211,7.57
34.65.137.148,443,443,true,FRA,Europe,Frankfurt,175,7.54
34.89.249.158,443,443,true,FRA,Europe,Frankfurt,154,7.53
34.116.241.55,443,443,true,FRA,Europe,Frankfurt,185,7.45
34.65.206.96,443,443,true,FRA,Europe,Frankfurt,204,7.44
34.65.128.53,443,443,true,FRA,Europe,Frankfurt,197,7.39
34.65.187.206,443,443,true,FRA,Europe,Frankfurt,173,7.39
34.116.212.119,443,443,true,FRA,Europe,Frankfurt,206,7.38
34.65.27.255,443,443,true,AMS,Europe,Amsterdam,173,7.36
34.141.27.252,443,443,true,FRA,Europe,Frankfurt,197,7.35
34.65.214.122,443,443,true,FRA,Europe,Frankfurt,175,7.34
34.65.13.41,443,443,true,FRA,Europe,Frankfurt,166,7.33
34.118.62.132,443,443,true,FRA,Europe,Frankfurt,185,7.31
34.154.49.251,443,443,true,FRA,Europe,Frankfurt,173,7.30
34.65.173.134,443,443,true,FRA,Europe,Frankfurt,173,7.29
34.89.249.158,443,443,true,AMS,Europe,Amsterdam,169,7.29
34.116.145.53,443,443,true,FRA,Europe,Frankfurt,251,7.29
34.65.153.178,443,443,true,FRA,Europe,Frankfurt,175,7.28
34.65.244.35,443,443,true,FRA,Europe,Frankfurt,177,7.27
34.65.4.95,443,443,true,FRA,Europe,Frankfurt,174,7.27
34.65.197.35,443,443,true,FRA,Europe,Frankfurt,225,7.27
34.118.68.210,443,443,true,FRA,Europe,Frankfurt,173,7.25
34.118.126.123,443,443,true,FRA,Europe,Frankfurt,268,7.25
34.118.25.40,443,443,true,FRA,Europe,Frankfurt,189,7.25
34.154.183.7,443,443,true,FRA,Europe,Frankfurt,191,7.24
34.154.64.94,443,443,true,FRA,Europe,Frankfurt,173,7.24
34.65.183.126,443,443,true,FRA,Europe,Frankfurt,175,7.24
34.118.91.209,443,443,true,FRA,Europe,Frankfurt,237,7.23
34.154.217.60,443,443,true,FRA,Europe,Frankfurt,176,7.20
34.65.45.214,443,443,true,FRA,Europe,Frankfurt,172,7.19
34.65.59.26,443,443,true,FRA,Europe,Frankfurt,171,7.16
34.147.61.223,443,443,true,FRA,Europe,Frankfurt,268,7.14
34.65.114.161,443,443,true,FRA,Europe,Frankfurt,170,7.12
34.65.235.165,443,443,true,FRA,Europe,Frankfurt,173,7.09
34.65.153.178,443,443,true,FRA,Europe,Frankfurt,176,7.08
34.154.244.63,443,443,true,FRA,Europe,Frankfurt,180,7.07
34.65.44.52,443,443,true,FRA,Europe,Frankfurt,173,7.07
34.65.6.181,443,443,true,FRA,Europe,Frankfurt,214,7.07
34.65.97.68,443,443,true,FRA,Europe,Frankfurt,177,7.04
34.116.225.173,443,443,true,FRA,Europe,Frankfurt,194,7.04
34.65.201.127,443,443,true,FRA,Europe,Frankfurt,175,7.03
34.159.103.247,443,443,true,FRA,Europe,Frankfurt,170,7.02
34.65.86.132,443,443,true,FRA,Europe,Frankfurt,176,7.02
34.65.103.93,443,443,true,FRA,Europe,Frankfurt,182,7.00
34.116.249.141,443,443,true,FRA,Europe,Frankfurt,186,6.99
34.154.113.133,443,443,true,FRA,Europe,Frankfurt,162,6.95
34.154.16.22,443,443,true,FRA,Europe,Frankfurt,232,6.93
34.65.203.120,443,443,true,FRA,Europe,Frankfurt,174,6.91
34.89.193.162,443,443,true,FRA,Europe,Frankfurt,208,6.91
34.65.13.41,443,443,true,FRA,Europe,Frankfurt,190,6.91
34.34.186.205,443,443,true,CDG,Europe,Paris,226,6.91
34.65.130.144,443,443,true,FRA,Europe,Frankfurt,173,6.83
34.65.86.175,443,443,true,FRA,Europe,Frankfurt,186,6.81
34.107.94.44,443,443,true,FRA,Europe,Frankfurt,168,6.81
34.65.231.140,443,443,true,FRA,Europe,Frankfurt,173,6.80
34.65.59.26,443,443,true,FRA,Europe,Frankfurt,174,6.79
34.65.86.132,443,443,true,FRA,Europe,Frankfurt,172,6.78
34.65.140.162,443,443,true,FRA,Europe,Frankfurt,223,6.76
34.154.13.25,443,443,true,FRA,Europe,Frankfurt,175,6.76
34.116.167.147,443,443,true,FRA,Europe,Frankfurt,278,6.74
34.65.242.186,443,443,true,FRA,Europe,Frankfurt,164,6.72
34.154.26.7,443,443,true,FRA,Europe,Frankfurt,183,6.71
34.91.119.232,443,443,true,FRA,Europe,Frankfurt,191,6.71
34.65.110.150,443,443,true,SIN,Asia Pacific,Singapore,177,6.67
34.90.184.47,443,443,true,FRA,Europe,Frankfurt,193,6.66
34.118.12.114,443,443,true,FRA,Europe,Frankfurt,282,6.65
34.154.139.39,443,443,true,FRA,Europe,Frankfurt,188,6.64
34.90.254.101,443,443,true,CDG,Europe,Paris,172,6.61
34.89.193.162,443,443,true,FRA,Europe,Frankfurt,172,6.60
34.65.203.120,443,443,true,FRA,Europe,Frankfurt,182,6.58
34.118.125.53,443,443,true,FRA,Europe,Frankfurt,185,6.58
35.200.238.235,443,443,true,BOM,Asia Pacific,Mumbai,160,6.57
34.65.169.80,443,443,true,FRA,Europe,Frankfurt,182,6.57
34.154.88.96,443,443,true,FRA,Europe,Frankfurt,179,6.57
34.65.244.35,443,443,true,FRA,Europe,Frankfurt,176,6.56
34.91.159.161,443,443,true,FRA,Europe,Frankfurt,215,6.55
34.116.208.78,443,443,true,FRA,Europe,Frankfurt,253,6.53
34.65.198.178,443,443,true,AMS,Europe,Amsterdam,175,6.51
34.65.202.238,443,443,true,FRA,Europe,Frankfurt,178,6.50
34.154.11.107,443,443,true,FRA,Europe,Frankfurt,175,6.50
34.34.1.13,443,443,true,FRA,Europe,Frankfurt,247,6.49
34.65.202.210,443,443,true,FRA,Europe,Frankfurt,176,6.49
34.65.157.100,443,443,true,FRA,Europe,Frankfurt,173,6.49
34.65.130.144,443,443,true,FRA,Europe,Frankfurt,174,6.49
34.116.140.46,443,443,true,FRA,Europe,Frankfurt,274,6.46
34.65.168.25,443,443,true,FRA,Europe,Frankfurt,191,6.44
34.116.191.142,443,443,true,FRA,Europe,Frankfurt,271,6.42
34.116.253.183,443,443,true,FRA,Europe,Frankfurt,184,6.41
34.65.30.161,443,443,true,FRA,Europe,Frankfurt,171,6.39
34.65.192.88,443,443,true,FRA,Europe,Frankfurt,226,6.37
34.116.255.149,443,443,true,FRA,Europe,Frankfurt,185,6.37
34.90.244.116,443,443,true,CDG,Europe,Paris,231,6.34
34.65.4.95,443,443,true,CDG,Europe,Paris,173,6.33
34.65.67.253,443,443,true,FRA,Europe,Frankfurt,233,6.32
34.65.44.52,443,443,true,FRA,Europe,Frankfurt,176,6.31
34.65.64.244,443,443,true,FRA,Europe,Frankfurt,175,6.30
34.154.17.196,443,443,true,FRA,Europe,Frankfurt,184,6.30
34.65.110.150,443,443,true,FRA,Europe,Frankfurt,174,6.29
34.65.13.41,443,443,true,FRA,Europe,Frankfurt,164,6.29
34.154.96.86,443,443,true,FRA,Europe,Frankfurt,184,6.28
34.65.97.68,443,443,true,FRA,Europe,Frankfurt,198,6.28
34.154.170.99,443,443,true,FRA,Europe,Frankfurt,184,6.27
34.65.2.140,443,443,true,FRA,Europe,Frankfurt,172,6.27
34.116.219.249,443,443,true,FRA,Europe,Frankfurt,225,6.26
34.159.237.42,443,443,true,FRA,Europe,Frankfurt,203,6.26
34.116.208.78,443,443,true,FRA,Europe,Frankfurt,183,6.25
34.116.200.243,443,443,true,FRA,Europe,Frankfurt,215,6.25
34.65.110.150,443,443,true,FRA,Europe,Frankfurt,174,6.25
34.118.84.230,443,443,true,FRA,Europe,Frankfurt,222,6.24
34.118.50.188,443,443,true,AMS,Europe,Amsterdam,200,6.22
34.118.12.136,443,443,true,FRA,Europe,Frankfurt,259,6.21
34.154.50.78,443,443,true,FRA,Europe,Frankfurt,165,6.20
34.65.92.134,443,443,true,FRA,Europe,Frankfurt,198,6.17
34.116.243.135,443,443,true,FRA,Europe,Frankfurt,305,6.16
34.65.201.127,443,443,true,FRA,Europe,Frankfurt,173,6.13
34.116.214.43,443,443,true,FRA,Europe,Frankfurt,264,6.10
34.32.207.49,443,443,true,FRA,Europe,Frankfurt,174,6.08
34.65.37.122,443,443,true,FRA,Europe,Frankfurt,221,6.05
34.65.152.34,443,443,true,FRA,Europe,Frankfurt,175,6.05
34.116.213.20,443,443,true,FRA,Europe,Frankfurt,260,6.04
34.65.198.178,443,443,true,FRA,Europe,Frankfurt,189,6.03
34.65.252.234,443,443,true,FRA,Europe,Frankfurt,175,6.02
34.118.20.188,443,443,true,FRA,Europe,Frankfurt,290,6.02
34.118.19.4,443,443,true,FRA,Europe,Frankfurt,291,6.01
34.154.172.145,443,443,true,FRA,Europe,Frankfurt,176,6.01
34.65.173.134,443,443,true,FRA,Europe,Frankfurt,170,6.01
34.159.191.35,443,443,true,FRA,Europe,Frankfurt,174,6.00
34.116.235.43,443,443,true,FRA,Europe,Frankfurt,242,6.00
34.118.5.50,443,443,true,FRA,Europe,Frankfurt,202,5.96
34.118.15.93,443,443,true,FRA,Europe,Frankfurt,286,5.93
34.65.30.161,443,443,true,FRA,Europe,Frankfurt,173,5.92
34.65.174.75,443,443,true,FRA,Europe,Frankfurt,190,5.91
34.34.186.205,443,443,true,CDG,Europe,Paris,225,5.90
34.65.139.204,443,443,true,FRA,Europe,Frankfurt,171,5.90
34.65.196.70,443,443,true,FRA,Europe,Frankfurt,163,5.89
34.116.165.236,443,443,true,FRA,Europe,Frankfurt,266,5.88
34.65.137.148,443,443,true,FRA,Europe,Frankfurt,178,5.86
34.154.159.86,443,443,true,FRA,Europe,Frankfurt,177,5.85
34.118.91.168,443,443,true,FRA,Europe,Frankfurt,185,5.84
34.116.171.197,443,443,true,AMS,Europe,Amsterdam,322,5.84
34.65.127.153,443,443,true,FRA,Europe,Frankfurt,181,5.81
34.154.233.75,443,443,true,FRA,Europe,Frankfurt,233,5.80
34.116.142.119,443,443,true,FRA,Europe,Frankfurt,242,5.78
34.65.37.122,443,443,true,FRA,Europe,Frankfurt,273,5.78
34.118.16.81,443,443,true,FRA,Europe,Frankfurt,195,5.75
34.116.199.155,443,443,true,FRA,Europe,Frankfurt,264,5.75
34.154.26.100,443,443,true,FRA,Europe,Frankfurt,220,5.74
34.65.50.163,443,443,true,FRA,Europe,Frankfurt,197,5.72
34.90.118.98,443,443,true,FRA,Europe,Frankfurt,185,5.69
34.65.149.27,443,443,true,FRA,Europe,Frankfurt,185,5.68
34.65.206.96,443,443,true,FRA,Europe,Frankfurt,171,5.67
34.65.236.103,443,443,true,FRA,Europe,Frankfurt,172,5.67
34.147.38.27,443,443,true,FRA,Europe,Frankfurt,167,5.65
34.65.51.214,443,443,true,FRA,Europe,Frankfurt,176,5.63
34.65.25.114,443,443,true,FRA,Europe,Frankfurt,179,5.63
34.65.153.178,443,443,true,FRA,Europe,Frankfurt,197,5.61
34.90.238.42,443,443,true,FRA,Europe,Frankfurt,171,5.61
34.65.67.253,443,443,true,FRA,Europe,Frankfurt,164,5.61
34.65.139.196,443,443,true,FRA,Europe,Frankfurt,172,5.59
34.65.64.244,443,443,true,FRA,Europe,Frankfurt,184,5.59
34.65.67.253,443,443,true,FRA,Europe,Frankfurt,238,5.58
34.65.157.100,443,443,true,FRA,Europe,Frankfurt,174,5.57
34.66.72.229,443,443,true,ORD,North America,Chicago,207,5.57
34.116.224.139,443,443,true,FRA,Europe,Frankfurt,255,5.57
34.154.113.214,443,443,true,FRA,Europe,Frankfurt,179,5.56
